dataset,model,variant,seed,status,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,attention_readout,17,completed,0.30364410653710366,0.30157443284988406,0.9065400843881856,0.9776371308016877,0.9217299578059072,0.830379746835443,0.9569620253164557,0.9974683544303797,0.9569620253164557,0.8556962025316456,0.9670886075949368,0.7658227848101266,0.8072129553306533,0.14430379746835442,0.3341772151898734,0.23417721518987342,0.7658227848101266,0.8966244725738397,0.5007072232256915,0.420335602051097,0.44556392218697194,0.9136472334887119,0.3033310887992693,0.24209592254279297,0.005374902822118299,0.013577032618649908,0.019684793666462735,0.003910880557049631,0.0023654868174355684,0.0030524039882611604,0.3958819996304005,1.6533089629683198,0.27304847148464645,1.2812460513385424,40.83340787887573,experiments/novelty_package/outputs/attention_readout/seed_17
hotpotqa,roberta-base,attention_readout,37,completed,0.2939525117725134,0.2980008631944656,0.9148101265822784,0.980590717299578,0.9281434599156119,0.8455696202531645,0.959493670886076,1.0,0.9620253164556962,0.8683544303797468,0.9670886075949368,0.769620253164557,0.8150746742112895,0.1291139240506329,0.34177215189873417,0.23037974683544304,0.769620253164557,0.9056962025316456,0.5628244615275607,0.4048250359884985,0.44753511430466036,0.9164998524951095,0.27850186195336235,0.19414172283858655,0.00930779386051151,0.017081940518135105,0.024659311043882318,0.007339153210407258,0.003945096915766048,0.004473104161649357,0.5448908951901487,1.8603226656048222,0.37745555193930136,1.640729333631504,41.0699188709259,experiments/novelty_package/outputs/attention_readout/seed_37
hotpotqa,roberta-base,query_only_gate,7,completed,0.3207290288805962,0.3230010330677032,0.9069620253164556,0.9869198312236287,0.9162447257383965,0.8278481012658228,0.9620253164556962,1.0,0.9746835443037974,0.8430379746835444,0.9696202531645569,0.7772151898734178,0.8039595964493992,0.1518987341772152,0.3189873417721519,0.22278481012658227,0.7772151898734178,0.9003164556962026,0.5301519316929109,0.24025781848994018,0.3690957738721528,0.6873326446524167,0.11553208889850115,0.07426531335088447,0.008400325611682033,0.003298951211621959,0.0041381420193312285,0.007088919789299431,0.0007955078810408111,0.0005869896201938452,2.546362486989293,8.91118737884101,2.0299751851048415,12.076737893522571,41.48102140426636,experiments/novelty_package/outputs/query_only_gate/seed_7
hotpotqa,roberta-base,query_only_gate,17,completed,0.28631040792912243,0.31209504306316377,0.9057383966244725,0.9746835443037974,0.9223628691983122,0.8278481012658228,0.9620253164556962,1.0,0.9518987341772152,0.8556962025316456,0.9696202531645569,0.7759493670886076,0.8101958727750839,0.14177215189873418,0.33164556962025316,0.2240506329113924,0.7759493670886076,0.9009493670886076,0.5845997881390378,0.3846716996986704,0.445627940638263,0.895741563181373,0.25337358339261046,0.1740373182997167,0.009833045171848078,0.014578783859904356,0.0212162831428023,0.007829021693164287,0.003083711409876202,0.0031981001615901906,0.6744763669136794,2.5388308607901116,0.46346690915010597,2.4480226689558915,41.87902021408081,experiments/novelty_package/outputs/query_only_gate/seed_17
hotpotqa,roberta-base,query_only_gate,37,completed,0.3185639899224043,0.2977814856171608,0.9106329113924052,0.9742616033755274,0.9297468354430379,0.8379746835443038,0.9544303797468354,1.0,0.9493670886075949,0.8708860759493671,0.9670886075949368,0.7645569620253164,0.8169025590364832,0.1240506329113924,0.3367088607594937,0.23544303797468355,0.7645569620253164,0.9022151898734178,0.5399822194150842,0.9999910277711739,6.754708559031936e-05,0.9999661244293476,0.9999968252172682,0.9999994810983122,0.010035273911737332,0.013881714017837122,0.019967137015587125,0.010035023593097341,0.013881689313048742,0.019967131138706056,0.722913171877957,0.7228964261334139,0.5025895251734591,0.5025771365644293,41.565094232559204,experiments/novelty_package/outputs/query_only_gate/seed_37
hotpotqa,roberta-base,shuffled_warrant,7,completed,0.32264311783015726,0.3251853907108307,0.9180168776371308,0.979746835443038,0.9316455696202531,0.8481012658227848,0.9670886075949368,1.0,0.9620253164556962,0.8683544303797468,0.9848101265822785,0.7873417721518987,0.8034717107817823,0.1240506329113924,0.31645569620253167,0.21265822784810126,0.7873417721518987,0.9025316455696203,0.5427376804639533,0.9986383033566698,0.0031763518699114745,0.9986710555534414,0.9984241675056099,0.9987229947720005,0.02119216459408214,0.012346036438654132,0.015297221499786634,0.021162996754084933,0.012320189374939792,0.015270685862635724,1.7165156363650216,1.7177493064458969,1.3853603802741388,1.3858576454556308,41.84807848930359,experiments/novelty_package/outputs/shuffled_warrant/seed_7
hotpotqa,roberta-base,shuffled_warrant,17,completed,0.29594474531710147,0.31264389514923097,0.9024472573839664,0.9738396624472573,0.9192827004219409,0.8253164556962025,0.9518987341772152,1.0,0.9493670886075949,0.8531645569620253,0.9620253164556962,0.7658227848101266,0.8044369876221132,0.14177215189873418,0.3189873417721519,0.23417721518987342,0.7658227848101266,0.8990506329113924,0.573474801401313,0.9995830488191246,0.0022669154497601232,0.9996200516185862,0.9994097619355113,0.9995746091901065,0.019047704447268884,0.018795050726171384,0.026915396261121955,0.019039882877358593,0.018780446856317863,0.026900829961858243,1.0134425665979017,1.0138141559157552,0.7076880556569183,0.707780499871364,41.9270715713501,experiments/novelty_package/outputs/shuffled_warrant/seed_17
hotpotqa,roberta-base,shuffled_warrant,37,completed,0.31329239659011365,0.317781323492527,0.8933333333333333,0.9645569620253165,0.9181434599156117,0.8075949367088607,0.9493670886075949,0.9974683544303797,0.9316455696202531,0.850632911392405,0.959493670886076,0.7481012658227848,0.7856843106650353,0.13924050632911392,0.3518987341772152,0.2518987341772152,0.7481012658227848,0.8931434599156118,0.500710759950676,0.9998850219726628,0.0005660157974016394,0.9998945049307448,0.999841287906975,0.999881925579711,0.017363977488786715,0.02007122012189161,0.02843046048904128,0.017362075093378154,0.020066863485348484,0.028425837793175413,0.8651181833160151,0.8652112028396869,0.6107525938765495,0.6107849914469894,41.73124575614929,experiments/novelty_package/outputs/shuffled_warrant/seed_37
hotpotqa,roberta-base,full_warrant,7,completed,0.32418594099581244,0.34201925665140154,0.9145569620253164,0.9814345991561181,0.9267932489451478,0.8405063291139241,0.9746835443037974,0.9974683544303797,0.9645569620253165,0.8607594936708861,0.9822784810126582,0.7835443037974683,0.8034102200973648,0.1341772151898734,0.31645569620253167,0.21645569620253163,0.7835443037974683,0.8969409282700422,0.5911850424693653,0.28960990782872764,0.4012787053892652,0.78598121643324,0.16294882408400324,0.10014516863222922,0.00603236819133986,0.00636972687812006,0.009009135021895081,0.004445961386341453,0.001010423547834476,0.0009158789767721264,0.9470371817763453,4.400096767212094,0.6695835034861033,4.854310994243535,43.310930490493774,experiments/novelty_package/outputs/full_warrant/seed_7
hotpotqa,roberta-base,full_warrant,17,completed,0.3021804469451308,0.3200616246461868,0.9120253164556962,0.9839662447257383,0.9227848101265823,0.8354430379746836,0.9721518987341772,0.9974683544303797,0.9696202531645569,0.8531645569620253,0.979746835443038,0.7784810126582279,0.8014312188179197,0.13924050632911392,0.3265822784810127,0.22151898734177214,0.7784810126582279,0.8986286919831225,0.5789907757124081,0.9999986189819831,5.40246197007231e-06,0.9999959739915868,0.9999993788916254,0.9999996922146306,0.016084282147200243,0.014862197082923212,0.020515152010769047,0.016084224677662008,0.014862189885815351,0.020515146549324816,1.082227752562992,1.08222440981009,0.7840196425918315,0.7840170499874574,42.888614892959595,experiments/novelty_package/outputs/full_warrant/seed_17
hotpotqa,roberta-base,full_warrant,37,completed,0.29293782837688925,0.30445592641830443,0.9135443037974683,0.9784810126582278,0.9248945147679325,0.8481012658227848,0.9493670886075949,1.0,0.959493670886076,0.8632911392405064,0.9645569620253165,0.769620253164557,0.8078643326505106,0.13164556962025317,0.3341772151898734,0.23037974683544304,0.769620253164557,0.9030590717299578,0.5245527319526614,0.305995783928316,0.4114091575280083,0.8080539344314565,0.17854517516151866,0.11445041958207931,0.011553803302144552,0.008013192825386668,0.011554040893361707,0.00995318251271454,0.001915344273460875,0.001681773548959891,1.4418476572210823,5.196550119279564,0.9999794365262035,5.918265582705937,42.838759899139404,experiments/novelty_package/outputs/full_warrant/seed_37
hotpotqa,roberta-base,open_path_no_gate,7,completed,0.31099935099482534,0.36162265598773957,0.9140084388185653,0.9818565400843882,0.9255274261603375,0.8405063291139241,0.9670886075949368,1.0,0.9645569620253165,0.8582278481012658,0.979746835443038,0.7632911392405063,0.7987304076512068,0.13164556962025317,0.3341772151898734,0.23670886075949368,0.7632911392405063,0.8977848101265823,0.5683238508101682,1.0,0.0,1.0,1.0,1.0,0.009239524057851126,0.0143082464336417,0.02037733817068778,0.009239524057851126,0.0143082464336417,0.02037733817068778,0.6457481775074169,0.6457481775074169,0.45342154016670916,0.45342154016670916,41.08629584312439,experiments/novelty_package/outputs/open_path_no_gate/seed_7
hotpotqa,roberta-base,open_path_no_gate,17,completed,0.30437795113772154,0.32205241739749907,0.9010789632308619,0.9759493670886076,0.9167510548523207,0.8202531645569621,0.9544303797468354,0.9974683544303797,0.9544303797468354,0.8455696202531645,0.9670886075949368,0.7734177215189874,0.8038794028598751,0.14936708860759493,0.32151898734177214,0.22658227848101264,0.7734177215189874,0.8964135021097046,0.5803700405854795,1.0,0.0,1.0,1.0,1.0,0.01921901901647637,0.014763679482878187,0.020311515478196537,0.01921901901647637,0.014763679482878187,0.020311515478196537,1.3017770426921793,1.3017770426921793,0.9462129518157859,0.9462129518157859,39.5759482383728,experiments/novelty_package/outputs/open_path_no_gate/seed_17
hotpotqa,roberta-base,open_path_no_gate,37,completed,0.29401822328567506,0.29155204460024836,0.9235021097046413,0.9827004219409282,0.9350210970464135,0.8607594936708861,0.9645569620253165,1.0,0.9670886075949368,0.8784810126582279,0.9772151898734177,0.789873417721519,0.8278600551318228,0.11392405063291139,0.3037974683544304,0.21012658227848102,0.789873417721519,0.9113924050632911,0.5597366117564805,1.0,0.0,1.0,1.0,1.0,0.009406521336170547,0.01302205913228431,0.019597120224045573,0.009406521336170547,0.01302205913228431,0.019597120224045573,0.7223528353399874,0.7223528353399874,0.4799950823707654,0.4799950823707654,39.73635458946228,experiments/novelty_package/outputs/open_path_no_gate/seed_37
