dataset,model,variant,seed,status,total_parameters,trainable_parameters,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,qiu_g2,7,completed,131739649,131739649,0.313845087736845,0.3237891651690006,0.9167510548523208,0.9763713080168775,0.929620253164557,0.850632911392405,0.9620253164556962,0.9949367088607596,0.9569620253164556,0.8683544303797468,0.9772151898734176,0.7746835443037975,0.8075827043547256,0.1215189873417721,0.3367088607594937,0.2253164556962025,0.7746835443037975,0.9007383966244724,0.559921316301572,,,,,,,,,,,,,,,,41.33669972419739,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_7
hotpotqa,roberta-base,qiu_g2,17,completed,131739649,131739649,0.3448411002010107,0.3063802796602249,0.9145569620253164,0.9780590717299578,0.931012658227848,0.8430379746835444,0.9620253164556962,1.0,0.9569620253164556,0.8708860759493671,0.9746835443037974,0.7746835443037975,0.8063693412968658,0.1240506329113924,0.3265822784810127,0.2253164556962025,0.7746835443037975,0.9062236286919833,0.5505144356101562,,,,,,,,,,,,,,,,40.61212658882141,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_17
hotpotqa,roberta-base,qiu_g2,37,completed,131739649,131739649,0.3081458651274442,0.3120523563027382,0.9067088607594936,0.9751054852320674,0.9230801687763712,0.830379746835443,0.959493670886076,0.9974683544303796,0.9518987341772152,0.8582278481012658,0.9670886075949368,0.7708860759493671,0.8088363806081764,0.1392405063291139,0.3341772151898734,0.2291139240506329,0.7708860759493671,0.90084388185654,0.578239027652025,,,,,,,,,,,,,,,,41.92592811584473,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_37
hotpotqa,roberta-base,qiu_g2,47,completed,131739649,131739649,0.2914394158869982,0.2953272473812103,0.9050632911392406,0.979324894514768,0.9179324894514768,0.8227848101265823,0.9696202531645568,1.0,0.959493670886076,0.8430379746835444,0.979746835443038,0.7759493670886076,0.8207777346827648,0.1443037974683544,0.3316455696202531,0.2240506329113924,0.7759493670886076,0.9012658227848102,0.5954588364387315,,,,,,,,,,,,,,,,40.768306255340576,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_47
hotpotqa,roberta-base,qiu_g2,57,completed,131739649,131739649,0.2977508679777383,0.2978431338071823,0.9040506329113924,0.9767932489451476,0.9179324894514768,0.8253164556962025,0.959493670886076,1.0,0.9569620253164556,0.8455696202531645,0.9746835443037974,0.7772151898734178,0.8192103086675707,0.1468354430379747,0.3240506329113924,0.2227848101265822,0.7772151898734178,0.8985232067510548,0.5604726726422087,,,,,,,,,,,,,,,,40.88894867897034,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_57
hotpotqa,roberta-base,qiu_g1,7,completed,131739649,131739649,0.3224646613001823,0.3320240278542041,0.9093670886075949,0.9729957805907172,0.9247679324894514,0.8379746835443038,0.9544303797468354,0.9974683544303796,0.9468354430379748,0.8607594936708861,0.9721518987341772,0.7569620253164557,0.8005591294072633,0.1291139240506329,0.3417721518987341,0.2430379746835443,0.7569620253164557,0.8970464135021098,0.5480706018916398,,,,,,,,,,,,,,,,40.70641326904297,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_7
hotpotqa,roberta-base,qiu_g1,17,completed,131739649,131739649,0.3799208299815654,0.3329527854919433,0.9032489451476794,0.9763713080168775,0.9208860759493672,0.8227848101265823,0.9569620253164556,1.0,0.9544303797468354,0.8531645569620253,0.9670886075949368,0.7544303797468355,0.7812534939817926,0.1443037974683544,0.3468354430379747,0.2455696202531645,0.7544303797468355,0.8970464135021098,0.5470197256057197,,,,,,,,,,,,,,,,42.043710231781006,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_17
hotpotqa,roberta-base,qiu_g1,37,completed,131739649,131739649,0.304282489195466,0.3161360049247741,0.9145569620253164,0.9763713080168775,0.929409282700422,0.8455696202531645,0.9645569620253164,1.0,0.9544303797468354,0.8708860759493671,0.9696202531645568,0.7721518987341772,0.8098156790443678,0.1265822784810126,0.3139240506329114,0.2278481012658227,0.7721518987341772,0.9035864978902952,0.587597937532897,,,,,,,,,,,,,,,,41.80209875106812,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_37
hotpotqa,roberta-base,qiu_g1,47,completed,131739649,131739649,0.3039570738375187,0.2948623916506767,0.909789029535865,0.9818565400843882,0.9221518987341772,0.8329113924050633,0.9670886075949368,1.0,0.9645569620253164,0.8531645569620253,0.9772151898734176,0.7873417721518987,0.8196151249310503,0.1392405063291139,0.3113924050632911,0.2126582278481012,0.7873417721518987,0.9046413502109706,0.5439381343312562,,,,,,,,,,,,,,,,40.790358781814575,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_47
hotpotqa,roberta-base,qiu_g1,57,completed,131739649,131739649,0.2924718748405576,0.309285002052784,0.9078481012658228,0.9746835443037974,0.921603375527426,0.8354430379746836,0.9544303797468354,0.9974683544303796,0.9518987341772152,0.8556962025316456,0.9670886075949368,0.7810126582278482,0.8128644692015203,0.1316455696202531,0.3037974683544304,0.2189873417721519,0.7810126582278482,0.9032700421940928,0.5423547301263615,,,,,,,,,,,,,,,,41.03165340423584,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_57
hotpotqa,roberta-base,full_warrant,7,completed,129965570,129965570,0.3006258706748486,0.3243152925372123,0.91,0.9772151898734176,0.9248945147679324,0.8379746835443038,0.9544303797468354,1.0,0.9569620253164556,0.8607594936708861,0.9696202531645568,0.7670886075949367,0.8054079274775545,0.1316455696202531,0.3164556962025316,0.2329113924050632,0.7670886075949367,0.8984177215189874,0.5323330811096674,0.999183678532583,0.0013605034699969,0.9983090726619072,0.999462882418676,0.9994020089804728,0.0056498871815958,0.0101989197591691,0.0137652677221728,0.005645842501953,0.0101938544341472,0.0137573307272035,0.5539691766391674,0.5538476675751558,0.4104451359485828,0.4103879316348098,39.45228385925293,experiments/qiu_gated_attention/outputs/full_warrant/seed_7
hotpotqa,roberta-base,full_warrant,17,completed,129965570,129965570,0.2885676945373416,0.3184886974096298,0.9021940928270042,0.9725738396624471,0.9221518987341772,0.8177215189873418,0.9696202531645568,0.9974683544303796,0.9468354430379748,0.8531645569620253,0.9772151898734176,0.7759493670886076,0.8021038023990272,0.1443037974683544,0.3088607594936708,0.2240506329113924,0.7759493670886076,0.8997890295358649,0.576173069237639,0.999936409302854,0.0001465516579631,0.9999006576836108,0.9999473169154574,0.9999373481372066,0.0208367706069653,0.0168728534331984,0.0231764440755849,0.0208348235433693,0.0168720555990798,0.0231749941737511,1.2349286793404837,1.2348716741133556,0.8990495064303529,0.8990217381356511,39.95478343963623,experiments/qiu_gated_attention/outputs/full_warrant/seed_17
hotpotqa,roberta-base,full_warrant,37,completed,129965570,129965570,0.2827785136178136,0.2879381719231605,0.9192827004219408,0.980168776371308,0.931223628691983,0.8531645569620253,0.9645569620253164,1.0,0.9620253164556962,0.8708860759493671,0.9772151898734176,0.7784810126582279,0.825831846475935,0.1215189873417721,0.3291139240506329,0.2215189873417721,0.7784810126582279,0.9043248945147678,0.5644056126533296,0.9942112615299828,0.0024953969571448,0.9945194091885649,0.9941374122941044,0.9937682862129414,0.0094582884525384,0.0138807247581495,0.0206593128265974,0.0094058822634248,0.0138000793680834,0.0205303733540914,0.6813973057844387,0.6815817512744612,0.4578220259272901,0.4581447254367813,39.2794451713562,experiments/qiu_gated_attention/outputs/full_warrant/seed_37
hotpotqa,roberta-base,full_warrant,47,completed,129965570,129965570,0.2886275156214833,0.3001311440765857,0.91126582278481,0.9839662447257383,0.9223628691983125,0.8379746835443038,0.959493670886076,1.0,0.9696202531645568,0.8556962025316456,0.9696202531645568,0.7721518987341772,0.8172519075316594,0.1367088607594936,0.3139240506329114,0.2278481012658227,0.7721518987341772,0.9003164556962026,0.5575912656163048,0.99999948380001,1.2477349221190812e-06,0.9999994424746392,0.999999502103052,0.9999994880826114,0.0212807534095345,0.0185819763979829,0.0260043411754994,0.021280742098981,0.0185819682018586,0.0260043285759823,1.145236273782188,1.1452361702380112,0.8183538766052149,0.818353838162006,39.468003273010254,experiments/qiu_gated_attention/outputs/full_warrant/seed_47
hotpotqa,roberta-base,full_warrant,57,completed,129965570,129965570,0.2960840218141675,0.2834502100944519,0.9184388185654008,0.9856540084388186,0.9270042194092828,0.850632911392405,0.9645569620253164,1.0,0.9721518987341772,0.8632911392405064,0.9746835443037974,0.7911392405063291,0.8185948387275264,0.1291139240506329,0.3139240506329114,0.2088607594936709,0.7911392405063291,0.904113924050633,0.5419962679379805,0.9999258907800996,0.0003920364053747,0.9999956548055436,0.9999032162392156,0.9998874734943304,0.0039389594043352,0.0047529877572687,0.0070711308575611,0.0039389334238063,0.0047524028775851,0.0070702483764844,0.8287333369019063,0.828829862549005,0.557048014480367,0.5571138684331379,39.195934772491455,experiments/qiu_gated_attention/outputs/full_warrant/seed_57
