domain,dataset,model,example_id,source_row,label,k,full_utility,empty_selected_utility,oracle_utility,oracle_headroom,full_primary,oracle_primary,oracle_subset,attention_shapley_spearman,top_attention_harmful,harmful_item_fraction,sign_reversal_fraction,mean_marginal_spread,mean_abs_pair_interaction,max_abs_pair_interaction,mean_abs_loo_shapley_gap,attention,loo,shapley
rag,hotpotqa,FiD,5,8005,,5,-5.776798725128174,-6.546384811401367,-5.669920921325684,0.10687780380249023,0.20000000298023224,0.20000000298023224,30,-0.7,1.0,0.2,0.0,0.09116945266723633,0.02226123809814453,0.067169189453125,0.031079645156860347,"[0.26414740085601807, 0.23214544355869293, 0.19983135163784027, 0.15799281001091003, 0.1458829790353775]","[-0.10687780380249023, 0.30852746963500977, 0.16681909561157227, 0.16242456436157227, 0.36820125579833984]","[-0.12309276262919111, 0.2597582817077637, 0.12413081328074137, 0.12764363288879393, 0.38114612102508544]"
rag,hotpotqa,FiD,6,8006,,5,-7.865732192993164,-7.508459568023682,-6.918811798095703,0.9469203948974609,0.20000000298023224,0.20000000298023224,22,-0.09999999999999999,1.0,0.4,0.2,0.09762687683105468,0.024397289752960204,0.12156057357788086,0.025517168045043954,"[0.3854195475578308, 0.2658253014087677, 0.1768365353345871, 0.08727554231882095, 0.08464305847883224]","[-0.8723206520080566, 0.3985271453857422, 0.1124563217163086, -0.03757476806640625, -0.005331516265869141]","[-0.842551318804423, 0.45039128462473554, 0.0848347266515096, -0.05026067097981771, 0.00031335353851318385]"
rag,hotpotqa,FiD,7,8007,,5,-0.31962206959724426,-0.2861167788505554,-0.23132437467575073,0.08829769492149353,1.0,1.0,18,-0.3,1.0,0.6,0.2,0.030033794045448304,0.007555628195405006,0.02778133749961853,0.005756911933422088,"[0.3842686414718628, 0.3114680349826813, 0.13007821142673492, 0.1085406243801117, 0.06564450263977051]","[-0.05414527654647827, 0.0818290114402771, -0.0013169646263122559, -0.049731314182281494, 0.007455796003341675]","[-0.059053330868482586, 0.06492391675710678, -0.0023099089662233993, -0.04413730576634407, 0.007071338097254435]"
rag,hotpotqa,FiD,8,8008,,5,-4.086211204528809,-4.276618957519531,-3.9396493434906006,0.146561861038208,0.25,0.25,25,-0.09999999999999999,0.0,0.4,0.2,0.06518144607543945,0.015954220294952394,0.040708065032958984,0.012095115979512534,"[0.3172127306461334, 0.2576730251312256, 0.20867036283016205, 0.127385675907135, 0.08905822038650513]","[0.09025096893310547, -0.0056362152099609375, -0.10740017890930176, 0.17854070663452148, 0.0842752456665039]","[0.0782993992169698, -0.03216904799143474, -0.10197377602259318, 0.17335644960403443, 0.07289472818374634]"
rag,hotpotqa,FiD,9,8009,,5,-1.2204163074493408,-1.0686328411102295,-1.0430132150650024,0.17740309238433838,1.0,1.0,4,0.6,1.0,0.8,0.0,0.01461477279663086,0.0035895079374313353,0.009531974792480469,0.0027453780174255373,"[0.33564960956573486, 0.3276333510875702, 0.13411852717399597, 0.10345114022493362, 0.09914735704660416]","[-0.012342095375061035, -0.03493022918701172, 0.03151059150695801, -0.06544899940490723, -0.05842101573944092]","[-0.020045280456542965, -0.034142643213272095, 0.030110776424407962, -0.06728491187095642, -0.06042140722274781]"
rag,hotpotqa,FiD,10,8010,,5,-1.113515853881836,-1.0569093227386475,-0.9950248003005981,0.11849105358123779,1.0,1.0,12,-0.39999999999999997,1.0,0.6,0.0,0.023813724517822266,0.005916258692741394,0.016226649284362793,0.003840875625610348,"[0.3106626570224762, 0.20070892572402954, 0.18812617659568787, 0.16218745708465576, 0.13831478357315063]","[-0.09333658218383789, -0.01861405372619629, 0.015684127807617188, 0.06384217739105225, -0.03030991554260254]","[-0.08983616034189862, -0.016584734121958416, 0.01420430342356364, 0.058783670266469315, -0.02317361036936442]"
rag,hotpotqa,FiD,11,8011,,5,-1.084326148033142,-1.2665371894836426,-1.084326148033142,0.0,0.5,0.5,31,-0.7,0.0,0.0,0.0,0.019410467147827147,0.004843658208847046,0.012898445129394531,0.005309791564941404,"[0.4827767312526703, 0.1718955636024475, 0.14103059470653534, 0.12065764516592026, 0.0836394652724266]","[0.02983379364013672, 0.007549405097961426, 0.012028098106384277, 0.04193699359893799, 0.06435501575469971]","[0.044494332869847615, 0.010377250115076701, 0.01206759810447693, 0.05093745589256286, 0.06433440446853639]"
rag,hotpotqa,FiD,12,8012,,5,-1.890641450881958,-2.144908905029297,-1.6394691467285156,0.2511723041534424,0.3333333432674408,0.3333333432674408,25,-0.19999999999999998,0.0,0.4,0.2,0.05390574932098389,0.013564765453338623,0.04185199737548828,0.009610035419464124,"[0.35161858797073364, 0.20282144844532013, 0.16752216219902039, 0.15278024971485138, 0.12525756657123566]","[0.23925328254699707, -0.18366897106170654, -0.0644921064376831, 0.2788276672363281, 0.011621713638305664]","[0.2292274316151937, -0.20553103288014735, -0.05674798488616943, 0.2814715683460236, 0.005847471952438355]"
rag,hotpotqa,FiD,13,8013,,5,-1.719408392906189,-1.7709755897521973,-1.4788541793823242,0.24055421352386475,0.3333333432674408,0.3333333432674408,1,0.6,0.0,0.8,0.0,0.027926945686340333,0.006991970539093018,0.02074754238128662,0.003785705566406261,"[0.44040143489837646, 0.2106611728668213, 0.1983470916748047, 0.09297136962413788, 0.05761896073818207]","[0.3153451681137085, -0.03194129467010498, -0.11375832557678223, -0.06933951377868652, -0.029810309410095215]","[0.30502834320068356, -0.03303897976875306, -0.11511569817860923, -0.0713748296101888, -0.03393163879712423]"
rag,hotpotqa,FiD,14,8014,,5,-3.4854519367218018,-3.424285411834717,-3.180316925048828,0.30513501167297363,0.20000000298023224,0.25,13,-0.09999999999999999,0.0,0.4,0.0,0.04929347038269043,0.012260371446609497,0.06288695335388184,0.022133218447367348,"[0.41993948817253113, 0.2646555006504059, 0.18751022219657898, 0.06593885272741318, 0.061955951154232025]","[0.1179497241973877, -0.29811882972717285, 0.1453695297241211, 0.08660149574279785, -0.009980201721191406]","[0.07719724178314209, -0.339977753162384, 0.1229930798212687, 0.09044042030970256, -0.01181951363881429]"
