accuracy,auc,dataset,distractor_attention_mass,distractor_warrant_mass,domain,edge_warrant_attention_entropy,edge_warrant_gate_mean,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,joint_nll,mae_time,mark_mrr,model,mrr,primary_metric,rmse_location,seed,support_ap,support_attention_mass,support_attention_ratio,support_auc,support_f1,support_mass_ratio,support_mrr,support_precision,support_recall,support_recall_at_1,support_recall_at_2,support_recall_at_5,support_warrant_mass,train_edge_warrant_attention_entropy,train_edge_warrant_gate_mean,train_gate_mean,train_loss,train_warrant_logit_mean,train_warrant_tail_mass_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements,warrant_tail_mass_mean
0.565588773642465,0.6006944069603,lastfm,,,ctdg,2.843607783317566,0.954049438238144,DyGFormer,0.76,1,0.7348589301109314,0.8354191184043884,,,,DyGFormer,,0.6006944069603,,7,,,,,,,,,,,,,,2.125850096344948,0.9511447623372078,0.6290599331259727,0.7566850483417511,1.9139482378959656,,warrant,4.0,2.557411432266236,2.0,
0.5860280658938377,0.6220537307343389,lastfm,,,ctdg,2.837268114089966,0.9631800949573516,DyGFormer,1.454,2,0.7038766741752625,0.8382495641708374,,,,DyGFormer,,0.6220537307343389,,7,,,,,,,,,,,,,,2.124549880623817,0.956915907561779,0.6322544813156128,0.690722718834877,1.948781579732895,,warrant,4.0,2.6203097105026245,2.0,
0.5976205003050641,0.6504732680867253,lastfm,,,ctdg,2.802050232887268,0.975948691368103,DyGFormer,2.143,3,0.6788791418075562,0.8451081216335297,,,,DyGFormer,,0.6504732680867253,,7,,,,,,,,,,,,,,2.1073063760995865,0.9676901623606682,0.6357918530702591,0.6652070581912994,2.02751387655735,,warrant,4.0,2.792693853378296,2.0,
0.6278218425869433,0.6854519619956067,lastfm,,,ctdg,2.650974154472351,0.9881219565868378,DyGFormer,2.829,4,0.6490710377693176,0.8591568768024445,,,,DyGFormer,,0.6854519619956067,,7,,,,,,,,,,,,,,2.046641692519188,0.9805200770497322,0.6377518698573112,0.6301384717226028,2.187042146921158,,warrant,4.0,3.29170835018158,2.0,
0.6525320317266626,0.7152324684950161,lastfm,,,ctdg,2.4801716804504395,0.995734691619873,DyGFormer,3.516,5,0.6200562715530396,0.8680340349674225,,,,DyGFormer,,0.7152324684950161,,7,,,,,,,,,,,,,,1.9414567798376083,0.9912732094526292,0.6481541693210602,0.5983562916517258,2.588505238294601,,warrant,4.0,3.870178699493408,2.0,
0.674496644295302,0.7488944917602922,lastfm,,,ctdg,2.418187141418457,0.9988306164741516,DyGFormer,4.198,6,0.5911307334899902,0.8721253275871277,,,,DyGFormer,,0.7488944917602922,,7,,,,,,,,,,,,,,1.8172858953475952,0.997133620083332,0.6589530035853386,0.5705311894416809,3.121546059846878,,warrant,4.0,4.378013849258423,2.0,
0.7059182428309945,0.7815756195927441,lastfm,,,ctdg,2.402564764022827,0.9996791183948516,DyGFormer,4.88,7,0.5574213862419128,0.8773351013660431,,,,DyGFormer,,0.7815756195927441,,7,,,,,,,,,,,,,,1.7889914363622663,0.999212011694908,0.6576864868402481,0.5332323610782623,3.710862666368485,,warrant,4.0,5.944101572036743,2.0,
0.7181208053691275,0.7994342448277775,lastfm,,,ctdg,2.499086022377014,0.99989053606987,DyGFormer,5.56,8,0.5399526953697205,0.8777749240398407,,,,DyGFormer,,0.7994342448277775,,7,,,,,,,,,,,,,,1.8287308514118197,0.999765507876873,0.6607556119561195,0.5083153247833252,4.376416325569153,,warrant,4.0,6.578438997268677,2.0,
0.7333740085417938,0.8169757076685921,lastfm,,,ctdg,2.458198428153992,0.999952644109726,DyGFormer,6.242,9,0.5216243863105774,0.8782003819942474,,,,DyGFormer,,0.8169757076685921,,7,,,,,,,,,,,,,,1.822264388203621,0.999913953244686,0.6642646864056587,0.4806205108761787,5.2360610365867615,,warrant,4.0,7.669285297393799,2.0,
0.7434411226357535,0.8231812207104066,lastfm,,,ctdg,2.52188491821289,0.9999745190143584,DyGFormer,6.922,10,0.5173174142837524,0.8781571984291077,,,,DyGFormer,,0.8231812207104066,,7,,,,,,,,,,,,,,1.8024108707904816,0.9999599978327752,0.6659901514649391,0.4513736516237259,6.0357553362846375,,warrant,4.0,7.798169136047363,2.0,
0.5350515463917526,,retweets,,,mtpp,,,AttNHP,0.296,1,25.17871856689453,1.0,,2404.2804916539144,0.7568728528686406,AttNHP,,0.7568728528686406,,7,,,,,,,,,,,,,,,,1.0,84.84935760498047,0.0,,base,0.0,0.0,0.0,
0.4752577319587628,,retweets,,,mtpp,,,AttNHP,0.362,2,25.04582977294922,1.0,,2403.8554687458213,0.7271477669477463,AttNHP,,0.7271477669477463,,7,,,,,,,,,,,,,,,,1.0,85.18882369995117,0.0,,base,0.0,0.0,0.0,
0.5268041237113402,,retweets,,,mtpp,,,AttNHP,0.427,3,24.98818588256836,1.0,,2403.6942647028213,0.7527491415284343,AttNHP,,0.7527491415284343,,7,,,,,,,,,,,,,,,,1.0,84.6630744934082,0.0,,base,0.0,0.0,0.0,
0.4835051546391752,,retweets,,,mtpp,,,AttNHP,0.492,4,24.971269607543945,1.0,,2403.653668326078,0.7293814440363461,AttNHP,,0.7293814440363461,,7,,,,,,,,,,,,,,,,1.0,84.54313659667969,0.0,,base,0.0,0.0,0.0,
0.5237113402061856,,retweets,,,mtpp,,,AttNHP,0.558,5,24.942472457885746,1.0,,2403.370646803158,0.7508591071846559,AttNHP,,0.7508591071846559,,7,,,,,,,,,,,,,,,,1.0,84.47676849365234,0.0,,base,0.0,0.0,0.0,
0.5319587628865979,,retweets,,,mtpp,,,AttNHP,0.626,6,24.901611328125,1.0,,2402.749770155764,0.7553264611160633,AttNHP,,0.7553264611160633,,7,,,,,,,,,,,,,,,,1.0,84.68385314941406,0.0,,base,0.0,0.0,0.0,
0.5793814432989691,,retweets,,,mtpp,,,AttNHP,0.691,7,24.86975860595703,1.0,,2401.910970425237,0.77938144391345,AttNHP,,0.77938144391345,,7,,,,,,,,,,,,,,,,1.0,84.49945449829102,0.0,,base,0.0,0.0,0.0,
0.5577319587628866,,retweets,,,mtpp,,,AttNHP,0.756,8,24.865997314453125,1.0,,2401.017082410989,0.7682130590542076,AttNHP,,0.7682130590542076,,7,,,,,,,,,,,,,,,,1.0,84.55050277709961,0.0,,base,0.0,0.0,0.0,
0.5845360824742268,,retweets,,,mtpp,,,AttNHP,0.823,9,24.844322204589844,1.0,,2400.1419384081337,0.7819587635010788,AttNHP,,0.7819587635010788,,7,,,,,,,,,,,,,,,,1.0,84.57697677612305,0.0,,base,0.0,0.0,0.0,
0.5670103092783505,,retweets,,,mtpp,,,AttNHP,0.89,10,24.84061622619629,1.0,,2399.2135557880106,0.7726804130163389,AttNHP,,0.7726804130163389,,7,,,,,,,,,,,,,,,,1.0,84.48614883422852,0.0,,base,0.0,0.0,0.0,
0.4556701030927835,,retweets,,,mtpp,,,AttNHP,0.074,1,25.446592330932617,0.1266681253910064,,2404.357964892178,0.717182131219156,AttNHP,,0.717182131219156,,7,,,,,,,,,,,,,,,,0.1695593148469925,84.8669548034668,0.515109583735466,,warrant,1.0,0.3842896223068237,0.0,
0.5278350515463918,,retweets,,,mtpp,,,AttNHP,0.147,2,25.16931915283203,0.1266877204179763,,2404.1159551594674,0.7532646054459601,AttNHP,,0.7532646054459601,,7,,,,,,,,,,,,,,,,0.1691660806536674,85.22433090209961,0.5129594206809998,,warrant,1.0,0.3846782147884369,0.0,
0.4865979381443299,,retweets,,,mtpp,,,AttNHP,0.22,3,24.97337532043457,0.126689463853836,,2404.034348299331,0.7300687293109206,AttNHP,,0.7300687293109206,,7,,,,,,,,,,,,,,,,0.1695334836840629,84.75471115112305,0.5146744102239609,,warrant,1.0,0.3847585022449493,0.0,
0.465979381443299,,retweets,,,mtpp,,,AttNHP,0.293,4,25.02859115600586,0.12669438123703,,2403.9035451331088,0.7219931278032126,AttNHP,,0.7219931278032126,,7,,,,,,,,,,,,,,,,0.1691684052348137,84.54737854003906,0.5133970081806183,,warrant,1.0,0.3849023878574371,0.0,
0.5484536082474227,,retweets,,,mtpp,,,AttNHP,0.366,5,24.918737411499023,0.1267323046922683,,2403.632297557654,0.7637457050920762,AttNHP,,0.7637457050920762,,7,,,,,,,,,,,,,,,,0.1692713052034378,84.49468612670898,0.513968288898468,,warrant,1.0,0.3856697976589203,0.0,
0.5360824742268041,,retweets,,,mtpp,,,AttNHP,0.439,6,24.91619110107422,0.1267646253108978,,2403.2387618877224,0.7573883167861664,AttNHP,,0.7573883167861664,,7,,,,,,,,,,,,,,,,0.1693871021270752,84.69632720947266,0.5152766406536102,,warrant,1.0,0.3863515853881836,0.0,
0.5412371134020618,,retweets,,,mtpp,,,AttNHP,0.513,7,24.889822006225582,0.1267649382352829,,2402.761545323588,0.7599656363737952,AttNHP,,0.7599656363737952,,7,,,,,,,,,,,,,,,,0.1691596135497093,84.53132629394531,0.5150949954986572,,warrant,1.0,0.3864067792892456,0.0,
0.5412371134020618,,retweets,,,mtpp,,,AttNHP,0.586,8,24.87882804870605,0.1267459243535995,,2402.2552205136144,0.7599656363737952,AttNHP,,0.7599656363737952,,7,,,,,,,,,,,,,,,,0.1691793724894523,84.56581115722656,0.5148354172706604,,warrant,1.0,0.3860726058483124,0.0,
0.5484536082474227,,retweets,,,mtpp,,,AttNHP,0.659,9,24.884138107299805,0.1267278790473938,,2401.745105100169,0.7639175263876767,AttNHP,,0.7639175263876767,,7,,,,,,,,,,,,,,,,0.169026032090187,84.58120346069336,0.5138488709926605,,warrant,1.0,0.3857227265834808,0.0,
0.5608247422680412,,retweets,,,mtpp,,,AttNHP,0.732,10,24.88536262512207,0.1267193704843521,,2401.114177343403,0.7668384887815751,AttNHP,,0.7668384887815751,,7,,,,,,,,,,,,,,,,0.1694182381033897,84.5052261352539,0.51468425989151,,warrant,1.0,0.385554552078247,0.0,
,,hotpotqa,0.7367498073693792,0.7367498073693792,rag,,,LED,6.085,1,1.5916779041290283,1.0,,,,LED,,0.5569553101883958,,7,0.5424559606280821,0.2632501923025265,0.2632501922108219,0.5466924645867115,0.3173909392337032,0.2632501922108219,0.5569553101883958,0.3173909392337032,0.3173909392337032,0.3270360176837725,0.5355463332177531,1.0,0.2632501923025265,,,1.0,1.5938136302507842,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7358717316544928,0.7358717316544928,rag,,,LED,12.148,2,1.5970184462411063,1.0,,,,LED,,0.5618107626849282,,7,0.547940587857817,0.2641282696620821,0.2641282691701717,0.5514127595904562,0.32376591033865,0.2641282691701717,0.5618107626849282,0.32376591033865,0.32376591033865,0.3317711945214979,0.5506132975034674,1.0,0.2641282696620821,,,1.0,1.563105161373432,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7363029421003918,0.7363029421003918,rag,,,LED,18.214,3,1.6160359723227364,1.0,,,,LED,,0.5600735379103098,,7,0.5440492368696063,0.2636970580403238,0.2636970581626404,0.5470734941002117,0.3216529595758206,0.2636970581626404,0.5600735379103098,0.3216529595758206,0.3216529595758206,0.3311969053398058,0.5439331223994452,1.0,0.2636970580403238,,,1.0,1.515096398500296,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7362480833021253,0.7362480833021253,rag,,,LED,24.269,4,1.693629435130528,1.0,,,,LED,,0.5446877347723069,,7,0.5311250815683272,0.2637519138038398,0.2637519144399027,0.5353439746926786,0.3039470642625982,0.2637519144399027,0.5446877347723069,0.3039470642625982,0.3039470642625982,0.3083662014563106,0.523860090152566,1.0,0.2637519138038398,,,1.0,1.4257042087041414,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7388823280078985,0.7388823280078985,rag,,,LED,30.313,5,1.807673863002232,1.0,,,,LED,,0.5377168934928339,,7,0.5269864747071968,0.2611176730192527,0.2611176728496138,0.5349469111938021,0.2984524893088303,0.2611176728496138,0.5377168934928339,0.2984524893088303,0.2984524893088303,0.298657463592233,0.5199700936199723,1.0,0.2611176730192527,,,1.0,1.296275964150062,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.736724094079385,0.736724094079385,rag,,,LED,36.367,6,1.938848665782384,1.0,,,,LED,,0.5346278317152103,,7,0.5239972287838073,0.2632759063742876,0.2632759061746192,0.5341024801409184,0.2897537238499769,0.2632759061746192,0.5346278317152103,0.2897537238499769,0.2897537238499769,0.2866678224687933,0.5263956310679612,1.0,0.2632759063742876,,,1.0,1.1216752437444837,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7386235240725775,0.7386235240725775,rag,,,LED,42.422,7,2.1509906564440047,1.0,,,,LED,,0.5449201593562183,,7,0.5306555745781323,0.2613764758426541,0.2613764759025015,0.5386876435305935,0.3013632144301895,0.2613764759025015,0.5449201593562183,0.3013632144301895,0.3013632144301895,0.3095147798196948,0.528627773925104,1.0,0.2613764758426541,,,1.0,0.935891887316337,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7397028698169997,0.7397028698169997,rag,,,LED,48.459,8,2.2866828441619877,1.0,,,,LED,,0.5580458275543227,,7,0.5440417346904376,0.2602971284111381,0.2602971289989745,0.543249773663981,0.3198470187528895,0.2602971289989745,0.5580458275543227,0.3198470187528895,0.3198470187528895,0.3281520891123439,0.5414463418862691,1.0,0.2602971284111381,,,1.0,0.7768243413705093,0.0,,base,0.0,0.0,0.0,
,,hotpotqa,0.7407331355328232,0.7407331355328232,rag,,,LED,54.494,9,2.576043265206473,1.0,,,,LED,,0.5529983132512714,,7,0.537002628847858,0.2592668638279017,0.2592668641744952,0.5371184177073474,0.3086298688164586,0.2592668641744952,0.5529983132512714,0.3086298688164586,0.3086298688164586,0.3189851334951456,0.5475522278085991,1.0,0.2592668638279017,,,1.0,0.6394074627986321,0.0,,base,0.0,0.0,0.0,
